SMILES,Drugbank-ID,CAS Number,Name,Synonyms,Drug Type,Affected Organism,Dosage Form,Dosage Route,Dosage,Indication
C(C(C(=C(C(C(=C(C(C(=C(C(C(=C(C(C(=C(C(C(C(C(O[H])=O)([H])[H])([H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])[H])[H])([H])[H])([H])([H])[H],DB00159,10417-94-4,Icosapent,"(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-Eicosapentaenoic acid
(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate
(5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid
(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid
(all-Z)-5,8,11,14,17-Eicosapentaenoic acid
5,8,11,14,17-EICOSAPENTAENOIC acid
5,8,11,14,17-Icosapentaenoic acid
all-cis-5,8,11,14,17-eicosapentaenoic acid
all-cis-5,8,11,14,17-icosapentaenoic acid
all-cis-icosa-5,8,11,14,17-pentaenoic acid
cis-5,8,11,14,17-Eicosapentaenoic acid
cis-5,8,11,14,17-EPA
cis-delta(5,8,11,14,17)-Eicosapentaenoic acid
cis, cis, cis, cis, cis-Eicosa-5,8,11,14,17-pentaenoic acid
Eicosapentaenoic acid
EPA
Icosapent
Icosapentaenoic acid
Icosapento
Icosapentum
Timnodonic acid",small molecule,Humans and other mammals,"Capsule
Kit
Capsule, gelatin coated","Oral
Oral",,"EPA can be used for lowering elevated triglycerides in those who are hyperglyceridemic. In addition, EPA may play a therapeutic role in patients with cystic fibrosis by reducing disease severity and may play a similar role in type 2 diabetics in slowing the progression of diabetic nephropathy."
C(C(=C(C(O[H])([H])[H])[H])C(=C(C(=C(C([H])([H])[H])C(=C(C1=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H])([H])([H])[H],DB00162,68-26-8,Vitamin A,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol
all-trans-retinol
all-trans-retinyl alcohol
all-trans-vitamin A alcohol
Retinol
Vitamin A1",small molecule,Humans and other mammals,"Powder, for solution
Ointment
Emulsion
Injection, solution
Capsule
Capsule
Liquid
Cream
Patch
Tablet
Tablet, extended release
Tablet
Capsule
Tablet, coated
Injection, solution
Tablet, chewable
Kit
Liquid
Injection, powder, lyophilized, for solution
Liquid; tablet
Injection, solution, concentrate
Solution
Liquid
Syrup
Kit
Tablet
Tablet, film coated
Solution / drops
Powder
Lozenge
Capsule; liquid
Capsule, gelatin coated
Solution
Solution / drops
Capsule, liquid filled
Tablet
Capsule
Tablet
Tablet","Oral
Topical
Oral
Intramuscular
Oral
Oral
Oral
Topical
Topical
Oral
Oral
Oral
Oral
Oral
Intravenous
Oral
Intravenous
Intravenous
Oral
Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","10000 unit
15 mg/mL
25000 unit
50000 unit
10000 unit
.57 g/19g
1500 unit
700 unit
5000 unit
5000 unit
10000 unit
10000 unit
2000 unit",For the treatment of vitamin A deficiency.
C(C1=NC([H])=C(C(O[H])([H])[H])C(C(O[H])([H])[H])=C1O[H])([H])([H])[H],DB00165,65-23-6,Pyridoxine,"2-Methyl-3-hydroxy-4,5-dihydroxymethylpyridine
3-hydroxy-4,5-bis(hydroxymethyl)-2-methylpyridine
3-Hydroxy-4,5-dimethylol-alpha-picoline
5-Hydroxy-6-methyl-3,4-pyridinedimethanol
Pyridoxine
Pyridoxol
Vitamin B6",small molecule,Humans and other mammals,"Capsule; liquid
Elixir
Tablet, extended release
Tablet, extended release
Injection
Tablet
Injection, solution
Tablet, extended release
Powder, for solution
Powder, for solution
Wafer
Tablet
Cream
Capsule, liquid filled
Spray
Tablet, delayed release
Capsule
Syrup
Tablet
Liquid
Injection, solution
Powder
Tablet, chewable
Solution / drops
Tablet
Tablet
Tablet
Kit
Liquid
Injection, powder, lyophilized, for solution
Liquid; tablet
Injection, solution, concentrate
Solution
Solution
Liquid
Solution
Paste
Tablet, film coated
Kit
Tablet, coated
Liquid
Injection, solution
Solution
Tablet, effervescent
Powder, for solution
Capsule, gelatin coated
Kit
Capsule, extended release
Tablet, extended release
Tablet
Capsule
Injection
Injection
Capsule
Tablet
Capsule
Tablet
Capsule
Tablet
Tablet
Tablet
Lozenge","Oral
Oral
Oral
Oral
Intramuscular
Oral
Intramuscular; Intravenous
Oral
Intramuscular; Intravenous
Intravenous
Oral
Oral
Topical
Oral
Topical
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Intravenous
Intravenous
Oral
Intravenous
Intravenous
Oral
Oral
Intramuscular; Intravenous
Dental
Oral
Oral
Intramuscular; Intravenous
Intramuscular; Intravenous
Intramuscular; Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","500 mg
400 mg
2 mg
8.45 mg
6 mg
8.33 mg
10 mg
100 mg
100 mg/mL
100 mg
100 mg
50 mg
250 mg
100 mg
17 mg
200 mg
200 mg
3.5 mg
250 mg
100 mg
25 mg",For the treatment of vitamin B6 deficiency and for the prophylaxis of isoniazid-induced peripheral neuropathy.
C(C1=C([H])C(=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])C1=O)([H])([H])[H],DB00170,58-27-5,Menadione,"2-Methyl-1,4-Naphthalenedione
2-Methyl-1,4-naphthochinon
2-Methyl-1,4-naphthoquinone
Menadione
Vitamin K3",small molecule,Humans and other mammals,,,,"The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification."
N(C1=NC([H])=NC2=C1N(C(=N2)[H])[H])([H])[H],DB00173,73-24-5,Adenine,"6-Aminopurine
Adenin
Vitamin B4",small molecule,Humans and other mammals,"Kit
Injection, solution
Liquid
Solution
Kit
Solution
Kit
Solution","Intravenous
Intravenous
Extracorporeal
Intravenous
Intravenous
Unknown",,"For nutritional supplementation, also for treating dietary shortage or imbalance"
C(OC(C(C(C(C(=NOC(C(N([H])[H])([H])[H])([H])[H])C1=C([H])C([H])=C(C(F)(F)F)C([H])=C1[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB00176,54739-18-3,Fluvoxamine,"Fluvoxamina
Fluvoxamine
Fluvoxaminum",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet
Tablet, coated
Tablet, coated
Tablet, coated
Tablet, film coated
Tablet, film coated
Tablet, film coated
Capsule, extended release
Capsule, extended release","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","100 mg
50 mg
100.0 mg
50.0 mg
100 mg/1
25 mg/1
50 mg/1
100 mg/1
25 mg/1
50 mg/1
100 mg/1
25 mg/1
50 mg/1
100 mg/1
150 mg/1",Indicated predominantly for the management of depression and for Obsessive Compulsive Disorder (OCD) [FDA Label]. Has also been used in the management of bulimia nervosa [A250].
C(C(C([H])([H])[H])(N([H])[H])C(C1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H])([H])([H])[H],DB00191,122-09-8,Phentermine,"alpha,alpha-Dimethylphenethylamine
Fentermina
Phentermine resin
Phenterminum",small molecule,Humans and other mammals,"Capsule
Capsule
Tablet
Capsule
Capsule
Capsule
Tablet
Tablet
Capsule, extended release
Capsule, extended release
Capsule, extended release
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","30 mg
15 mg
8 mg/1
15 mg/1
30 mg/1
37.5 mg/1
30 mg/1
37.5 mg/1
15 mg/1
30 mg/1
15 mg/1
30 mg/1
37.5 mg/1",For the treatment and management of obesity.
C(C(C([H])([H])[H])(N(C(C(C(C1(C(N([H])[H])=O)C2=C(C(=C(C(=C2[H])[H])[H])[H])C2=C1C(=C(C(=C2[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])[H])[H])([H])([H])[H],DB00192,74517-78-5,Indecainide,"Indecainida
Indecainide
Indecainidum",small molecule,Humans and other mammals,,,,For the treatment of life-threatening dysrhythmias and sustained ventricular tachycardia.
O(C(C(N1C([H])=NC([H])=N1)([H])[H])(C(N1C([H])=NC([H])=N1)([H])[H])C1=C(F)C([H])=C(F)C([H])=C1[H])[H],DB00196,86386-73-4,Fluconazole,"2-(2,4-DIFLUOROPHENYL)-1,3-di(1H-1,2,4-triazol-1-yl)propan-2-ol
2,4-Difluoro-alpha,alpha-bis(1H-1,2,4-triazol-1-ylmethyl)benzyl alcohol
Biozole
Elazor
Fluconazol
Fluconazolum
Triflucan",small molecule,Fungi,"Tablet
Capsule; cream
Capsule
Powder, for solution
Injection
Injection, solution
Injection, solution
Injection, solution
Powder, for suspension
Powder, for suspension
Powder, for suspension
Powder, for suspension
Tablet
Tablet
Tablet
Tablet
Solution
Capsule; cream; kit
Tablet
Tablet
Tablet","Oral
Oral; Topical; Vaginal
Oral
Oral
Intravenous
Intravenous
Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Intravenous
Oral; Topical
Oral
Oral
Oral","200 mg
150 mg
50 mg
2 mg/mL
2 mg/mL
200 mg/100mL
400 mg/200mL
10 mg/mL
1400 mg/35mL
350 mg/35mL
40 mg/mL
100 mg/1
150 mg/1
200 mg/1
50 mg/1
2 mg
100 mg
50 mg
150 mg",For the treatment of fungal infections.
C(C1=C(C([H])([H])[H])C2=C(C(C(C(C([H])([H])[H])(C(OC3=C([H])C([H])=C(C(C4(SC(=O)N([H])C4=O)[H])([H])[H])C([H])=C3[H])([H])[H])O2)([H])[H])([H])[H])C(C([H])([H])[H])=C1O[H])([H])([H])[H],DB00197,97322-87-7,Troglitazone,,small molecule,Humans and other mammals,,,,"For the treatment of Type II diabetes mellitus. It is used alone or in combination with a sulfonylurea, metformin, or insulin as an adjunct to diet and exercise."
C(N1C([H])=NC2=C1C(=O)N(C([H])([H])[H])C(=O)N2C([H])([H])[H])([H])([H])[H],DB00201,58-08-2,Caffeine,"1-methyltheobromine
1,3,7-trimethyl-2,6-dioxopurine
1,3,7-trimethylpurine-2,6-dione
1,3,7-trimethylxanthine
3,7-Dihydro-1,3,7-trimethyl-1H-purin-2,6-dion
7-methyltheophylline
Anhydrous caffeine
Cafe��na
Caf��ine
Caffeinum
Coffein
Coffeinum
Guaranine
Koffein
Mate��na
Methyltheobromine
te��na
Thein
Theine",small molecule,Humans and other mammals,"Tablet, multilayer
Capsule
Tablet
Tablet
Tablet, coated
Tablet, effervescent
Tablet, film coated
Syrup
Tablet
Tablet, multilayer
Injection, solution
Injection
Injection, solution
Injection, solution
Solution
Solution
Tablet
Tablet, film coated
Capsule
Capsule, gelatin coated
Tablet, coated
Kit
Tablet, film coated
Solution
Liquid
Granule
Capsule, coated
Tablet
Powder
Tablet, coated
Capsule, liquid filled
Capsule, liquid filled
Suppository
Cream
Cream
Tablet, multilayer
Injection, solution; solution
Capsule
Wafer
Tablet
Liquid","Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Intramuscular; Intravenous
Intravenous
Intramuscular; Intravenous
Intravenous
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Topical
Oral
Oral
Oral
Oral
Rectal
Topical
Topical
Oral
Intravenous; Oral
Oral
Oral
Oral
Oral","200 1/1
175 mg
175 mg
100 mg
200 mg/1
200 mg/1
200 mg/200mg
125 mg/mL
20 mg/mL
60 mg/3mL
20 mg/mL
20 mg/mL
20 mg/mL
200 mg
100 mg/1
100 mg/1
200 mg/1
5 mg/1000mL
20 mg/ml
100 mg
60 mg
200 mg/1
50 mg","For management of fatigue, orthostatic hypotension, and for the short term treatment of apnea of prematurity in infants."
C([N+](C([H])([H])[H])(C([H])([H])[H])C(C(OC(=O)C(C(C(=O)OC(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],DB00202,306-40-1,Succinylcholine,"2,2'-[(1,4-DIOXOBUTANE-1,4-diyl)bis(oxy)]bis(N,N,N-trimethylethanaminium)
Dicholine succinate
Succinic acid, diester with choline
Succinocholine
Succinoylcholine
Succinylbischoline
Succinylcholine
Succinyldicholine
Suxamethonium",small molecule,Humans and other mammals,"Injection, solution
Powder, for solution
Liquid
Injection, solution
Solution
Solution
Injection, solution
Solution","Intramuscular; Intravenous; Parenteral
Intravenous
Intravenous
Intramuscular; Intravenous
Intravenous
Intramuscular; Intravenous
Intravenous
Intravenous","20 mg/mL
500 mg
20 mg
20 mg/mL
100 mg
20 mg
20 mg/mL
20 mg","Used in surgical procedures where a rapid onset and brief duration of muscle relaxation is needed (includes intubation, endoscopies, and ECT)"
C(C(C(C1=NN(C([H])([H])[H])C2=C1N(C(=NC2=O)C1=C(OC(C([H])([H])[H])([H])[H])C([H])=C([H])C(S(=O)(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])=C1[H])[H])([H])[H])([H])[H])([H])([H])[H],DB00203,139755-83-2,Sildenafil,"1-((3-(4,7-Dihydro-1-methyl-7-oxo-3-propyl-1H-pyrazolo(4,3-d)pyrimidin-5-yl)-4-ethoxyphenyl)sulfonyl)-4-methylpiperazine",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet
Tablet
Tablet
Injection, solution
Injection, solution
Powder, for suspension
Solution
Tablet
Tablet, film coated
Injection, solution
Tablet
Tablet, film coated
Tablet, film coated
Tablet, film coated
Tablet, film coated
Tablet
Tablet, film coated
Tablet, film coated
Tablet, film coated
Tablet, orally disintegrating
Tablet, orally disintegrating
Tablet, orally disintegrating","Oral
Oral
Oral
Oral
Oral
Intravenous
Intravenous
Oral
Intravenous
Oral
Oral
Intravenous
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral
Oral","100 mg
25 mg
100.0 mg
25.0 mg
50.0 mg
.8 mg/mL
0.8 mg/ml
10 mg/ml
0.8 mg
20 mg
20 mg
10 mg/12.5mL
20 mg/1
20 mg/1
100 mg
25 mg
50 mg
50 mg
100 mg/1
25 mg/1
50 mg/1
50 mg
100 mg
25 mg",For the treatment of erectile dysfunction and to relieve symptoms of pulmonary arterial hypertension (PAH). 
C(N(C(C(OC1=C([H])C([H])=C(N(S(C([H])([H])[H])(=O)=O)[H])C([H])=C1[H])([H])[H])([H])[H])C(C(C1=C([H])C([H])=C(N(S(C([H])([H])[H])(=O)=O)[H])C([H])=C1[H])([H])[H])([H])[H])([H])([H])[H],DB00204,115256-11-6,Dofetilide,"beta-((p-Methanesulfonamidophenethyl)methylamino)methanesulfono-p-phenetidide
Dofetilida
Dofetilidum",small molecule,Humans and other mammals,"Capsule
Capsule
Capsule","Oral
Oral
Oral",".125 mg/1
.25 mg/1
.5 mg/1",For the maintenance of normal sinus rhythm (delay in time to recurrence of atrial fibrillation/atrial flutter [AF/AFl]) in patients with atrial fibrillation/atrial flutter of greater than one week duration who have been converted to normal sinus rhythm
C(C(C1=NC(N([H])[H])=NC(N([H])[H])=C1C1=C([H])C([H])=C(Cl)C([H])=C1[H])([H])[H])([H])([H])[H],DB00205,58-14-0,Pyrimethamine,"2,4-Diamino-5-(4-chlorophenyl)-6-ethylpyrimidine
2,4-Diamino-5-(P-chlorophenyl)-6-ethylpyrimidine
2,4-Diamino-5-chlorophenyl-6-ethylpyrimidine
5-(4-Chlorophenyl)-6-ethyl-2,4-diaminopyrimidine
5-(4-Chlorophenyl)-6-ethyl-2,4-pyrimidinediamine
5-(4'-Chlorophenyl)-2,4-diamino-6-ethylpyrimidine
CD
Chloridine
Chloridyn
Diaminopyritamin
Ethylpyrimidine
Pirimetamina
Primethamine
Pyrimethaminum",small molecule,Plasmodium,"Tablet
Tablet
Tablet
Capsule","Oral
Oral
Oral
Oral","25 mg/1
25 mg",For the treatment of toxoplasmosis and acute malaria; For the prevention of malaria in areas non-resistant to pyrimethamine
ClC1=C(C(N2C([H])([H])C([H])([H])C3=C(C(=C(S3)[H])[H])C2([H])[H])([H])[H])C([H])=C([H])C([H])=C1[H],DB00208,55142-85-3,Ticlopidine,"Ticlopidina
Ticlopidinum",small molecule,Humans and other mammals,"Tablet
Tablet, film coated","Oral
Oral","250 mg
250 mg/1","Used in patients, who have had a stroke or stroke precursors and who cannot take aspirin or aspirin has not worked, to try to prevent another thrombotic stroke."
C(OC1=C(C23C([H])([H])C4(C([H])([H])C(C(C(C4([H])[H])(C2([H])[H])[H])([H])[H])([H])C3([H])[H])[H])C([H])=C(C2=C([H])C([H])=C3C(=C(C(=C([H])C3=C2[H])[H])C(O[H])=O)[H])C([H])=C1[H])([H])([H])[H],DB00210,106685-40-9,Adapalene,"6-(3-(1-Adamantyl)-4-methoxyphenyl)-2-naphthoic acid
Adaferin
Adapaleno
Adapalenum
Differine",small molecule,Humans and other mammals,"Cream
Gel
Gel
Lotion
Swab
Solution
Cream
Cream
Gel
Lotion
Lotion
Gel
Liquid
Gel
Gel
Gel","Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical
Topical",".1 g/100g
1 mg/g
45 g/g
.1 g/100mL
1 mg/mL
1 mg/mL
0.1 %
1 mg/g
3 mg/g
0.1 %
1 mg/g
0.1 %
0.1 %
0.3 %
.1 g/100g","For the topical treatment of comedo, papular and pustular acne (acne vulgaris) of the face, chest or back."
C(C(C([H])([H])[H])(N(C(=O)N(S(=O)(=O)C1=C(N(C2=C([H])C(C([H])([H])[H])=C([H])C([H])=C2[H])[H])C([H])=C([H])N=C1[H])[H])[H])[H])([H])([H])[H],DB00214,56211-40-6,Torasemide,"1-Isopropyl-3-((4-m-toluidino-3-pyridyl)sulfonyl)urea
Luprac
N-(((1-Methylethyl)amino)carbonyl)-4-((3-methylphenyl)amino)-3-pyridinesulfonamide
Torasemida
Torasemidum
Torsemide",small molecule,Humans and other mammals,"Tablet
Tablet
Tablet
Tablet
Liquid
Tablet
Tablet
Tablet
Tablet
Injection
Injection, solution","Oral
Oral
Oral
Oral
Intravenous
Oral
Oral
Oral
Oral
Intravenous
Intravenous","10 mg/1
100 mg/1
20 mg/1
5 mg/1
10 mg
100 mg
10 mg
20 mg
5 mg
10 mg/mL
10 mg/mL","For the treatment of edema associated with congestive heart failure, renal disease, or hepatic disease. Also for the treatment of hypertension alone or in combination with other antihypertensive agents."
C(N(C(N(C(C1=C([H])C([H])=C([H])C([H])=C1[H])([H])[H])[H])=NC([H])([H])[H])[H])([H])([H])[H],DB00217,55-73-2,Bethanidine,"Betanidina
Betanidine
Betanidinum
N,N'-dimethyl-N''-(phenylmethyl)-guanidine",small molecule,Humans and other mammals,,,,For the treatment of hypertension.
